DISTRICT_NAME,COUNTY_NAME,FIELD_NAME,OPERATOR_NAME,OPERATOR_NO,LEASE_NAME,OG_CODE,LEASE_ID,WELL_NO,API,WB_Months_Inactive
7B,PALO PINTO,PALO PINTO CO. REG. (GAS),"QUEST-TEX ENERGY OP II, LLC",684645,PADGETT,G,095372,1,36332588,131
10,WHEELER,"PANHANDLE, EAST",KIMBREL OIL CORPORATION,462131,LULA,G,095433,3,48330824,230
04,ZAPATA,"EL GRULLO, E. (FREDERICK SD.)","JURASSIC EXPLORATION, INC.",448231,"DE GARCIA, SARA G.",G,095508,1,50531237,240
02,KARNES,GREEN (QUEEN CITY),"MERI-TECH PRODUCTION CO., INC.",561146,"ATKINSON, W. H.",G,095538,1,25580033,279
7B,PALO PINTO,"SANTO, S.(CONGL)",CRYSTAL RIVER OIL & GAS LLC,191683,"KING, EVELYN",G,095565,2,36332635,206
7B,STONEWALL,"PUMPHREY, NORTH (CONGLOMERATE)","BYNG ENERGY GROUP, INC.",118732,"ABERNATHY, CHARLES G.",O,09559,2,43310098,279
01,DIMMIT,"CATARINA, SW. (OLMOS)",SOUTH COAST OIL & GAS CO.,802633,STUMBERG,G,095640,5,12732237,279
06,SHELBY,NORTH TIMPSON (TRAVIS PEAK),"MAYO, EDDIE",536900,"DEAN, C. W. GAS UNIT",G,095992,1,41930348,236
08,CRANE,CRANE COWDEN,"TRIPP & SONS, LLC",870481,"GIBBS, ANNA -A-",O,09600,1,10381430,279
08,CRANE,CRANE COWDEN,"TRIPP & SONS, LLC",870481,"GIBBS, ANNA -A-",O,09600,2,10381431,234
04,NUECES,"WHITE POINT, E. (5650)",GREEN EXPLORATION COMPANY,330179,STATE TRACT 973,O,09602,1,35502190,60
03,MATAGORDA,LIVE OAK BAYOU (MIOCENE),"HILLHOUSE OPERATING COMPANY, LLC",388557,LEWIS,G,096029,4,32130845,171
01,MILAM,CHEROKEE (NAVARRO),"SHOREHAM OIL & GAS COMPANY, INC.",778499,"WILLARD, E.K.",O,09617,1,33131920,212
04,MUSTANG IS-LB,SAMEDAN (FRIO),"VTEX ENERGY, INC.",887727,STATE TRACT 818L,G,096205,A  4,70230148,183
05,FREESTONE,TEAGUE (CV-BOSSIER CONS.),"OMEGA ENERGY, LLC",622657,"MANAHAN, LORENA C.",G,096434,1,16130616,118
02,LAVACA,"MORALES, NORTH (1250)",BRINKERHOFF OIL COMPANY,093408,"BORCHERS, O. R. -A-",G,096493,2,28500441,279
04,KENEDY,"SARITA, W. (2000)",LAMAY CORPORATION,484025,"MAY, L. C.",G,096547,1,26130642,279
09,ARCHER,ARCHER COUNTY REGULAR,MSB OPERATING,518696,"TURBEVILLE, J. H., -N-",O,09662,3,00913022,183
08,PECOS,PECOS VALLEY (YATES),B & B ENERGY (I),039783,I.R.T. 29,G,096629,4,37133637,235
01,MILAM,MINERVA-ROCKDALE,"SHWJ OIL & GAS CO., INC.",779245,COOK-TEXSTAR,O,09670,1A,33132293,238
01,MILAM,MINERVA-ROCKDALE,"SHWJ OIL & GAS CO., INC.",779245,COOK-TEXSTAR,O,09670,4B,33132246,238
01,MILAM,MINERVA-ROCKDALE,"SHWJ OIL & GAS CO., INC.",779245,COOK-TEXSTAR,O,09670,7A,33132227,238
01,MILAM,MINERVA-ROCKDALE,"SHWJ OIL & GAS CO., INC.",779245,COOK-PARITY,O,09671,15A,33132255,238
04,DUVAL,KIBBE (3300),"KIBBE, R. E.",458811,KIBBE,O,09672,1,13133909,279
04,DUVAL,KIBBE (3300),"KIBBE, R. E.",458811,KIBBE,O,09672,4,13136470,279
08,PECOS,PECOS VALLEY (YATES),B & B ENERGY (I),039783,"I.R.T. ""29"" A",G,096722,3,37133575,235
04,NUECES,"WHITE POINT, E. (5800 SEG. B)",GREEN EXPLORATION COMPANY,330179,STATE TRACT 973,G,097015,8,35502198,67
03,HIGH IS-LB,"HIGH IS. BLK. 24L(FB-C, CM-11)",JEFFERSON BLOCK 24 OIL & GAS LLC,430717,STATE LEASE 59455,O,09707,3 U,70800113,229
04,SAN PATRICIO,MIDWAY (5680),DUAL S PRODUCTION LLC,229391,CAMPBELL ESTATE,O,09709,1,40931451,230
03,LIBERTY,"LIBERTY, SOUTH",GOOD OL'BOYS OIL COMPANY,314438,HUMBLE FEE,O,09714,1,29130100,279
8A,COTTLE,INDEPENDENT (BEND CONGL.),"SEQUOIA NATURAL GAS, INC.",767543,OPAL,G,097157,1,10130313,60
03,LIBERTY,"LIBERTY, SOUTH",GOOD OL'BOYS OIL COMPANY,314438,TRINITY RIVER,O,09716,1,29130108,279
08,REEVES,AYLESWORTH,LICON OIL CO.,500376,TXL,O,09718,1,38900819,279
06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),"WEATHERLY OIL & GAS, LLC",902815,HARTT GAS UNIT,G,097203,1,34730656,25
03,SAN JACINTO,LICK BRANCH (9150 HENDERSON),RODEL OIL & GAS COMPANY,723575,LICK BRANCH UNIT,G,097281,1,40730450,279
